ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13202100,JG414064,09/06/2023 05:40:00 PM,0000X E ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,False,131,1,34.0,33.0,14,1176593.0,1895068.0,2023,09/14/2023 03:43:09 PM,41.867417305,-87.627168747,"(41.867417305, -87.627168747)"
13201160,JG412986,09/06/2023 01:30:00 AM,048XX W LAKE ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA TRAIN,False,False,1532,15,28.0,25.0,17,1144147.0,1901839.0,2023,09/14/2023 03:43:09 PM,41.886668404,-87.746113681,"(41.886668404, -87.746113681)"
13208455,JG421283,09/02/2023 01:00:00 PM,033XX W BALMORAL AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,1712,17,39.0,13.0,08B,1152981.0,1935682.0,2023,09/14/2023 03:41:59 PM,41.979365817,-87.712773161,"(41.979365817, -87.712773161)"
13202029,JG414184,09/06/2023 08:00:00 PM,008XX W 76TH ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,621,6,17.0,71.0,08B,1172154.0,1854464.0,2023,09/14/2023 03:43:09 PM,41.756094931,-87.644659401,"(41.756094931, -87.644659401)"
13201680,JG413579,09/06/2023 09:30:00 AM,049XX S ARCHER AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,821,8,14.0,57.0,08B,1150934.0,1871470.0,2023,09/14/2023 03:43:09 PM,41.803201891,-87.72198373,"(41.803201891, -87.72198373)"
13208575,JG420467,09/03/2023 12:45:00 PM,018XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1931,19,32.0,7.0,06,1163748.0,1915979.0,2023,09/14/2023 03:41:59 PM,41.925078949,-87.673734337,"(41.925078949, -87.673734337)"
13202320,JG414293,09/06/2023 10:10:00 PM,036XX W ARMITAGE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2525,25,26.0,22.0,04A,1151973.0,1913049.0,2023,09/14/2023 03:43:09 PM,41.917279172,-87.717078645,"(41.917279172, -87.717078645)"
13201504,JG413456,09/06/2023 11:32:00 AM,105XX S EWING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,432,4,10.0,52.0,14,1202174.0,1835608.0,2023,09/14/2023 03:43:09 PM,41.703640622,-87.535285448,"(41.703640622, -87.535285448)"
13202169,JG413704,09/06/2023 01:24:00 PM,043XX S LA SALLE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,True,False,215,2,20.0,37.0,04A,1176127.0,1876478.0,2023,09/14/2023 03:43:09 PM,41.81641543,-87.629438806,"(41.81641543, -87.629438806)"
13202309,JG414322,09/06/2023 11:31:00 PM,048XX W FOSTER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1621,16,39.0,12.0,15,1143328.0,1934145.0,2023,09/14/2023 03:43:09 PM,41.975334583,-87.748311799,"(41.975334583, -87.748311799)"
13202135,JG413936,09/06/2023 04:55:00 PM,033XX W CHICAGO AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,1121,11,27.0,23.0,03,1153805.0,1905131.0,2023,09/14/2023 03:43:09 PM,41.89551514,-87.710559023,"(41.89551514, -87.710559023)"
13201304,JG413096,09/06/2023 07:10:00 AM,008XX W JUNIOR TER,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,True,1915,19,46.0,3.0,07,1169959.0,1928885.0,2023,09/14/2023 03:43:09 PM,41.960360168,-87.650534646,"(41.960360168, -87.650534646)"
13201811,JG413880,09/06/2023 04:12:00 PM,021XX N CALIFORNIA AVE,0460,BATTERY,SIMPLE,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1414,14,1.0,22.0,08B,1157345.0,1914452.0,2023,09/14/2023 03:43:09 PM,41.921021491,-87.69730355,"(41.921021491, -87.69730355)"
13201763,JG413588,09/06/2023 03:00:00 AM,003XX W 23RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,914,9,11.0,34.0,14,1174424.0,1889041.0,2023,09/14/2023 03:43:09 PM,41.85092747,-87.635311283,"(41.85092747, -87.635311283)"
13201775,JG413827,09/06/2023 01:00:00 PM,006XX W HUTCHINSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1915,19,46.0,3.0,14,1170953.0,1928526.0,2023,09/14/2023 03:43:09 PM,41.959353269,-87.646890819,"(41.959353269, -87.646890819)"
13202175,JG414199,09/06/2023 08:51:00 PM,055XX W CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1524,15,37.0,25.0,15,1139250.0,1904792.0,2023,09/14/2023 03:43:09 PM,41.894862353,-87.764025029,"(41.894862353, -87.764025029)"
13202443,JG414467,09/06/2023 10:00:00 PM,002XX N PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1114,11,28.0,26.0,07,1149685.0,1901255.0,2023,09/14/2023 03:43:09 PM,41.884960051,-87.725791717,"(41.884960051, -87.725791717)"
13201154,JG412983,09/06/2023 01:26:00 AM,001XX E LA SALLE DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,1814,18,43.0,7.0,26,1176813.0,1911874.0,2023,09/14/2023 03:43:09 PM,41.913528863,-87.6258524,"(41.913528863, -87.6258524)"
13203515,JG413801,09/06/2023 03:51:00 PM,082XX S COLES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,424,4,7.0,46.0,14,1198250.0,1850974.0,2023,09/14/2023 03:43:09 PM,41.745905086,-87.549141439,"(41.745905086, -87.549141439)"
13202240,JG414270,09/06/2023 07:40:00 PM,008XX N MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1833,18,2.0,8.0,07,1177330.0,1906499.0,2023,09/14/2023 03:43:09 PM,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
13202801,JG414907,09/06/2023 09:00:00 PM,005XX W 96TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2223,22,9.0,73.0,07,1174208.0,1841224.0,2023,09/14/2023 03:43:09 PM,41.719717269,-87.63752426,"(41.719717269, -87.63752426)"
13208139,JG421314,09/01/2023 12:00:00 AM,042XX S MICHIGAN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,213,2,3.0,38.0,11,1177862.0,1876957.0,2023,09/14/2023 03:41:59 PM,41.81769067,-87.623059961,"(41.81769067, -87.623059961)"
13202525,JG414587,09/06/2023 11:30:00 PM,015XX N LEAVITT ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1424,14,1.0,24.0,06,1161452.0,1910354.0,2023,09/14/2023 03:43:09 PM,41.909691708,-87.682327785,"(41.909691708, -87.682327785)"
13201620,JG413479,09/06/2023 02:00:00 AM,0000X W 95TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS,False,False,511,5,9.0,49.0,03,1177494.0,1841973.0,2023,09/14/2023 03:43:09 PM,41.721699115,-87.625466085,"(41.721699115, -87.625466085)"
13202191,JG414164,09/06/2023 08:05:00 PM,013XX W 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2222,22,21.0,73.0,15,1168922.0,1841756.0,2023,09/14/2023 03:43:09 PM,41.721292763,-87.656870051,"(41.721292763, -87.656870051)"
13203381,JG415587,09/06/2023 04:47:00 PM,047XX W WEST END AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1113,11,28.0,25.0,06,1144858.0,1900562.0,2023,09/14/2023 03:43:09 PM,41.883150785,-87.743534907,"(41.883150785, -87.743534907)"
13202224,JG414226,09/06/2023 08:10:00 PM,028XX W BELMONT AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,True,False,1733,17,33.0,21.0,04A,1156752.0,1921140.0,2023,09/14/2023 03:43:09 PM,41.939385902,-87.699300657,"(41.939385902, -87.699300657)"
13201402,JG413073,09/06/2023 06:43:00 AM,014XX S BLUE ISLAND AVE,0810,THEFT,OVER $500,GOVERNMENT BUILDING / PROPERTY,True,False,1233,12,28.0,28.0,06,1168519.0,1893359.0,2023,09/26/2023 03:44:16 PM,41.862906101,-87.656858884,"(41.862906101, -87.656858884)"
13202587,JG414707,09/06/2023 09:00:00 PM,028XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,VEHICLE NON-COMMERCIAL,False,False,133,1,4.0,35.0,05,1178511.0,1886067.0,2023,10/09/2023 03:40:50 PM,41.842674466,-87.620401921,"(41.842674466, -87.620401921)"
13206126,JG418815,09/06/2023 08:00:00 PM,063XX S KEDZIE AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SIDEWALK,False,False,823,8,14.0,66.0,11,1156141.0,1862549.0,2023,09/14/2023 03:43:09 PM,41.77861818,-87.70312686,"(41.77861818, -87.70312686)"
13203072,JG415095,09/06/2023 10:30:00 PM,030XX N MOBILE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC GROUNDS,False,False,2511,25,30.0,19.0,26,1133880.0,1919540.0,2023,09/14/2023 03:43:09 PM,41.935428755,-87.783400598,"(41.935428755, -87.783400598)"
13201212,JG413022,09/06/2023 03:34:00 AM,050XX N LINCOLN AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,BAR OR TAVERN,False,False,2031,20,40.0,4.0,05,1158737.0,1933560.0,2023,09/14/2023 03:43:09 PM,41.973426571,-87.691663417,"(41.973426571, -87.691663417)"
13202188,JG413993,09/06/2023 06:00:00 PM,052XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GROCERY FOOD STORE,False,True,815,8,23.0,62.0,08B,1150589.0,1869566.0,2023,09/14/2023 03:43:09 PM,41.79798376,-87.723298581,"(41.79798376, -87.723298581)"
13207185,JG420003,09/06/2023 08:40:00 AM,014XX S BLUE ISLAND AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1232,12,28.0,28.0,06,1168627.0,1893531.0,2023,09/14/2023 03:43:09 PM,41.863375747,-87.656457451,"(41.863375747, -87.656457451)"
13204224,JG416613,09/06/2023 11:00:00 AM,073XX N WASHTENAW AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,2411,24,50.0,2.0,08B,1157092.0,1948758.0,2023,09/14/2023 03:43:09 PM,42.015164168,-87.697297389,"(42.015164168, -87.697297389)"
13201687,JG413567,09/06/2023 01:35:00 PM,055XX S LA SALLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,225,2,20.0,68.0,08B,1176235.0,1868250.0,2023,09/14/2023 03:43:09 PM,41.793834595,-87.629289876,"(41.793834595, -87.629289876)"
13203850,JG416106,09/06/2023 02:00:00 AM,047XX S WINCHESTER AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,931,9,15.0,61.0,06,1164152.0,1873259.0,2023,09/14/2023 03:43:09 PM,41.807842901,-87.67345647,"(41.807842901, -87.67345647)"
13208369,JG410736,09/02/2023 11:00:00 PM,067XX S EAST END AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,332,3,5.0,43.0,07,1188697.0,1860555.0,2023,09/14/2023 03:41:59 PM,41.772429772,-87.583839095,"(41.772429772, -87.583839095)"
13201139,JG412965,09/06/2023 12:25:00 AM,038XX W 86TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,834,8,18.0,70.0,08B,1152402.0,1847268.0,2023,09/14/2023 03:43:09 PM,41.736758964,-87.71723564,"(41.736758964, -87.71723564)"
13201420,JG413261,09/06/2023 12:30:00 AM,003XX N PARKSIDE AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,1512,15,29.0,25.0,06,1138537.0,1901583.0,2023,09/14/2023 03:43:09 PM,41.886069404,-87.766721551,"(41.886069404, -87.766721551)"
13201760,JG413680,09/06/2023 02:28:00 PM,040XX W 16TH ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,False,False,1012,10,24.0,29.0,18,1149781.0,1891744.0,2023,09/14/2023 03:43:09 PM,41.858858907,-87.725686431,"(41.858858907, -87.725686431)"
13202271,JG414254,09/06/2023 09:50:00 PM,082XX S COLES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,424,4,7.0,46.0,14,1198250.0,1850974.0,2023,09/14/2023 03:43:09 PM,41.745905086,-87.549141439,"(41.745905086, -87.549141439)"
13202141,JG413832,09/06/2023 03:48:00 PM,025XX W 103RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2211,22,19.0,72.0,08B,1161071.0,1836260.0,2023,09/14/2023 03:43:09 PM,41.706376496,-87.68577827,"(41.706376496, -87.68577827)"
13202485,JG413084,09/06/2023 06:50:00 AM,050XX S CALUMET AVE,0650,BURGLARY,HOME INVASION,APARTMENT,False,False,224,2,3.0,38.0,05,1179285.0,1871736.0,2023,09/14/2023 03:43:09 PM,41.803331407,-87.617999436,"(41.803331407, -87.617999436)"
13203327,JG414454,09/06/2023 07:15:00 PM,021XX W GRACE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1921,19,47.0,5.0,06,1161251.0,1925209.0,2023,09/14/2023 03:43:09 PM,41.950458972,-87.682652033,"(41.950458972, -87.682652033)"
13203730,JG415950,09/06/2023 02:30:00 PM,007XX W WILLOW ST,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,1813,18,43.0,7.0,08A,1171259.0,1911950.0,2023,09/14/2023 03:43:09 PM,41.913861315,-87.646254251,"(41.913861315, -87.646254251)"
13204206,JG416589,09/06/2023 08:30:00 AM,035XX W 73RD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,831,8,17.0,66.0,11,1154079.0,1855974.0,2023,09/14/2023 03:43:09 PM,41.760616571,-87.710860822,"(41.760616571, -87.710860822)"
13201665,JG413486,09/06/2023 11:00:00 AM,064XX S STONY ISLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,314,3,5.0,42.0,08B,1187984.0,1862596.0,2023,09/14/2023 03:43:09 PM,41.778047465,-87.586387726,"(41.778047465, -87.586387726)"
13202789,JG414834,09/06/2023 02:30:00 PM,044XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,True,215,2,3.0,38.0,05,1178781.0,1875697.0,2023,09/14/2023 03:43:09 PM,41.81421223,-87.619727208,"(41.81421223, -87.619727208)"
13201262,JG413041,09/06/2023 04:30:00 AM,014XX W FRY ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1213,12,27.0,24.0,06,1166423.0,1905778.0,2023,09/14/2023 03:43:09 PM,41.897029874,-87.664197611,"(41.897029874, -87.664197611)"
13208500,JG420617,07/14/2023 12:00:00 AM,101XX S ESCANABA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,431,4,10.0,51.0,11,1197129.0,1838203.0,2023,09/14/2023 03:41:59 PM,41.710888352,-87.553672774,"(41.710888352, -87.553672774)"
